topic_number,topic_mix,segment,is_creative,creative_sector
57,"0.108*""leadership"" + 0.090*""prodev"" + 0.081*""publicspeaking"" + 0.074*""communication-skills"" + 0.067*""self-improvement"" + 0.066*""toastmasters"" + 0.058*""fear-of-public-speaking"" + 0.048*""personal-development"" + 0.040*""professional-networking"" + 0.038*""presentations""",leadership,0,
58,"0.061*""datamanagement"" + 0.023*""accounting"" + 0.021*""python"" + 0.016*""creative"" + 0.016*""ai"" + 0.016*""innovation"" + 0.015*""social-entrepreneurship"" + 0.015*""young-professionals"" + 0.015*""projectmgmt"" + 0.015*""data-analysis-and-modeling""",data_analytics,1,software
59,"0.092*""electronics"" + 0.086*""arduino"" + 0.084*""robotics"" + 0.080*""makers"" + 0.076*""makerspaces"" + 0.072*""hacking"" + 0.069*""3d-printing"" + 0.064*""diy"" + 0.058*""newtech"" + 0.045*""microcontroller""",making,1,design
60,"0.096*""edtech"" + 0.075*""startup-businesses"" + 0.073*""prodev"" + 0.070*""creative"" + 0.053*""learning"" + 0.047*""courses-and-workshops"" + 0.044*""business-strategy"" + 0.039*""innovation"" + 0.038*""collaboration-between-creative-minds"" + 0.024*""newtech""",edtech,1,software
61,"0.036*""mobile-app-development"" + 0.029*""hacking"" + 0.028*""technology-startups"" + 0.027*""ai"" + 0.024*""innovation"" + 0.020*""application-development"" + 0.019*""softwaredev"" + 0.018*""natural-language-processing"" + 0.018*""app-developers"" + 0.018*""deep-learning""",apps,1,software
62,"0.039*""c-csharp"" + 0.020*""retire"" + 0.020*""insprofs"" + 0.020*""financial-education"" + 0.020*""impact-investing"" + 0.020*""cambio-social"" + 0.020*""startup-pitching"" + 0.020*""social-business"" + 0.020*""social-innovation"" + 0.020*""social-impact""",social_innovation,1,software
63,"0.109*""agile-project-management"" + 0.072*""scrum"" + 0.065*""projectmgmt"" + 0.045*""agile-transformation"" + 0.045*""agile-coaching"" + 0.036*""agile-leadership"" + 0.035*""kanban"" + 0.035*""lean-project-management"" + 0.035*""xp"" + 0.035*""project-management-professional""",agile,1,software
64,"0.043*""startup-businesses"" + 0.043*""entrepreneurship"" + 0.038*""professional-networking"" + 0.035*""design-thinking"" + 0.023*""technology-startups"" + 0.020*""start-up"" + 0.020*""business-start-up"" + 0.020*""founders"" + 0.020*""innovation"" + 0.017*""business-entrepreneur-networking""",startups,1,software
65,"0.126*""cloud-computing"" + 0.108*""saas-software-as-a-service"" + 0.079*""amazon-web-services"" + 0.062*""iaas-infrastructure-as-a-service"" + 0.053*""paas"" + 0.042*""high-scalability-computing"" + 0.024*""big-data"" + 0.024*""aws-programming-and-tools"" + 0.024*""amazon"" + 0.023*""virtualization""",it,1,software
66,"0.114*""cms"" + 0.084*""php"" + 0.057*""laravel"" + 0.050*""php-application-development"" + 0.041*""drupal"" + 0.041*""co-working-space"" + 0.027*""joomla"" + 0.027*""coworking-space"" + 0.022*""wordpress"" + 0.020*""coworkers""",cms,1,design
67,"0.106*""internet-ecommerce"" + 0.086*""ecommerce-technology"" + 0.067*""ecommerce-marketing"" + 0.049*""startup-businesses"" + 0.047*""online-marketing"" + 0.043*""building-an-online-business"" + 0.019*""saas-software-as-a-service"" + 0.018*""shopify"" + 0.013*""softwaredev"" + 0.013*""small-business-online-marketing""",ecommerce,1,advertising
68,"0.051*""inversionistas"" + 0.046*""digital-marketing-analytics"" + 0.030*""digital-marketer"" + 0.023*""crowdfunding"" + 0.019*""startup-financing"" + 0.018*""emprendedores"" + 0.016*""startup-businesses"" + 0.016*""blockchain"" + 0.015*""streaming-analytics"" + 0.015*""kdb""",online_marketing,1,advertising
69,"0.119*""professional-networking"" + 0.098*""business-strategy"" + 0.095*""entrepreneurship"" + 0.073*""business-entrepreneur-networking"" + 0.060*""smallbiz"" + 0.052*""business-referral-networking"" + 0.050*""socialnetwork"" + 0.048*""prodev"" + 0.039*""startup-businesses"" + 0.037*""executive-coaching""",networking,0,
