topic_number,topic_mix,is_creative,name,sector
44,"0.047*""marketing-y-publicacion-de-videojuegos"" + 0.023*""kubernetes-cdi"" + 0.023*""celulas-de-produccion-karaokulta-por-ciudad"" + 0.023*""container-networking"" + 0.023*""kubernetes"" + 0.023*""online-videogames"" + 0.023*""cloud-native-computing"" + 0.023*""kubernetes-cni"" + 0.023*""cloud-native"" + 0.023*""containers""",,,
45,"0.178*""courses-and-workshops"" + 0.047*""magento"" + 0.032*""magento-meetups"" + 0.019*""internet-ecommerce"" + 0.018*""emprendedores"" + 0.016*""php"" + 0.016*""business-growth"" + 0.016*""professional-bussiness-networking"" + 0.016*""makers"" + 0.016*""magento-enterprise""",,,
46,"0.106*""entrepreneurship"" + 0.081*""startup-businesses"" + 0.077*""emprendedores"" + 0.068*""innovation"" + 0.065*""business-entrepreneur-networking"" + 0.062*""professional-networking"" + 0.061*""business-development"" + 0.051*""social-entrepreneurship"" + 0.043*""business"" + 0.039*""women-entrepreneurs""",,,
47,"0.031*""content-marketing"" + 0.031*""seo-search-engine-optimization"" + 0.021*""data"" + 0.021*""lead-nurturing"" + 0.021*""inbound-marketing"" + 0.021*""networking-for-job-seekers"" + 0.021*""prototyping"" + 0.021*""search-engine-marketing"" + 0.021*""marketing-automation"" + 0.021*""meet-your-neighborhood-linux-users""",1,content_marketing,advertising
48,"0.095*""gamedev"" + 0.078*""gameprog"" + 0.074*""independent-game-development"" + 0.074*""game-design"" + 0.063*""videogame"" + 0.062*""video-game-development"" + 0.058*""video-game-design"" + 0.058*""unity"" + 0.045*""indie-games"" + 0.039*""game-production""",1,games_development,games
49,"0.167*""3d-printing"" + 0.020*""drones"" + 0.019*""professional-women"" + 0.019*""html5-game-development"" + 0.019*""3d-graphics"" + 0.019*""drone"" + 0.019*""personal-robots"" + 0.019*""brides-and-bridal-parties"" + 0.019*""html5-gaming"" + 0.019*""wedding-event-professionals""",1,3d_printing,design
50,"0.096*""financial-technology"" + 0.079*""financial-innovation"" + 0.066*""financial-services"" + 0.055*""newintown"" + 0.048*""socialnetwork"" + 0.037*""sketch-app"" + 0.037*""entrepreneurship"" + 0.034*""finance"" + 0.032*""bitcoin"" + 0.028*""ui-design""",,,
51,"0.042*""pmi"" + 0.037*""computer-programming"" + 0.034*""pmp-certification"" + 0.034*""project-management-professional-certification"" + 0.034*""pmp-exam"" + 0.026*""concurrent-programming"" + 0.026*""go"" + 0.025*""pmi-certification"" + 0.025*""golang"" + 0.023*""pmp""",,,
52,"0.038*""newtech"" + 0.030*""jvm-languages"" + 0.030*""android"" + 0.030*""kotlin"" + 0.027*""capacitacion"" + 0.027*""it-professionals"" + 0.027*""certificaciones"" + 0.015*""web"" + 0.015*""radio-control-flying"" + 0.015*""computer-networking""",,,
53,"0.032*""mono"" + 0.032*""big-data-developers"" + 0.030*""crm"" + 0.022*""newtech"" + 0.022*""saas-software-as-a-service"" + 0.021*""emprendedores"" + 0.021*""human-computer-interaction"" + 0.021*""c-csharp"" + 0.021*""enterprise-ar-mr-vr"" + 0.021*""zoho-crm""",,,
54,"0.065*""test-driven-development"" + 0.054*""elixir-programming"" + 0.044*""software-quality"" + 0.043*""software-qa-and-testing"" + 0.043*""software-testing"" + 0.043*""distributed-systems"" + 0.037*""test-automation"" + 0.032*""otp"" + 0.032*""quality-assurance"" + 0.032*""elixir""",1,testing,software
55,"0.038*""knowledge-sharing"" + 0.030*""entrepreneurship"" + 0.026*""startup-businesses"" + 0.023*""finance"" + 0.022*""prodev"" + 0.021*""makers"" + 0.020*""hablar-en-publico"" + 0.020*""communication-skills"" + 0.020*""data-analysis-and-modeling"" + 0.020*""data-analysis""",,,
56,"0.093*""java-virtual-machine"" + 0.080*""java"" + 0.073*""application-development"" + 0.056*""litecoin"" + 0.039*""android-developers"" + 0.037*""programming-languages"" + 0.037*""java-concurrency"" + 0.036*""mobile-development"" + 0.031*""opensource"" + 0.019*""dogecoin""",1,java,software
57,"0.120*""web-development"" + 0.108*""softwaredev"" + 0.104*""computer-programming"" + 0.104*""web"" + 0.080*""opensource"" + 0.074*""newtech"" + 0.055*""webdesign"" + 0.035*""internetpro"" + 0.032*""javascript"" + 0.031*""mobile-development""",1,web_development_2,software
58,"0.079*""ux-design"" + 0.071*""user-experience"" + 0.060*""ixd"" + 0.047*""user-interface-design"" + 0.040*""mobile-user-experience"" + 0.037*""graphicdesign"" + 0.037*""webdesign"" + 0.033*""productdesign"" + 0.033*""usability"" + 0.030*""ui-design""",1,ux,design
59,"0.074*""coworking"" + 0.073*""co-working-space"" + 0.069*""freelance"" + 0.061*""creative-freelancers"" + 0.061*""startup-businesses"" + 0.050*""entrepreneurship"" + 0.048*""coworking-space"" + 0.036*""coworkers"" + 0.031*""smallbiz"" + 0.028*""workathome""",1,feelance_2,freelance
