state,advertising_marketing,architecture,crafts,design,film_radio_tv,libraries_museums,music_performing_arts,publishing,software,all_creative,all_sectors
michoacán de ocampo,0.009931006918804575,0.015197395454689129,0.028565410225504077,0.020464371497197757,0.030727291790444904,0.03134144191785651,0.03260167760778782,0.020896862374812315,0.004840228788133954,0.020396632925089524,0.034619164028770334
morelos,0.005207990622205,0.00584126181369915,0.005008601219383755,0.010216172938350681,0.025869360081082024,0.013537810682178741,0.016798246464803213,0.009256536074176121,0.0032496896889404516,0.010463307493381365,0.016491623868969806
méxico,0.06024404687922677,0.05174321206182634,0.09428574772096943,0.13607686148919135,0.07811134798867647,0.07152006580880192,0.09534154864203552,0.1044688327167469,0.02932829350748177,0.07481590339219225,0.10296180766976405
nayarit,0.003541043693993386,0.0044441634794702405,0.004341567879419096,0.002722177742193755,0.0065634501799881175,0.010400141018861274,0.011915615275264569,0.004798538767549494,0.001247481646426277,0.0060588679263822364,0.010332172464840115
nuevo león,0.09234739758877589,0.07719442425008692,0.08873883889389489,0.06401921537229784,0.050830042288470274,0.03863916798871849,0.0462492137079455,0.06379476701288382,0.111612182905759,0.07197070421289681,0.0526620503229832
oaxaca,0.008134895974225686,0.013269273319214844,0.02202380255813137,0.007397918334667734,0.021507706287351904,0.038580410129854865,0.03317528978499242,0.014029276246201157,0.005445257386650699,0.018100453401803166,0.02892908224901978
puebla,0.03286371246627723,0.038170496570471286,0.09090377166395562,0.028951160928742996,0.03197148149442561,0.05442152887948763,0.050511124473842456,0.03916742772523464,0.01905528214916138,0.04069992022633857,0.04636799609323833
querétaro,0.028559869958643146,0.03624869614691659,0.013492797210162312,0.03244195356285028,0.017167021983014712,0.007003936776543863,0.02438544521449493,0.023538638556516982,0.04496547594543515,0.02655560175072174,0.020596625183874086
quintana roo,0.015704394744730475,0.005329203148212536,0.0016266251623699578,0.02177742193755004,0.024086953482682697,0.04974440331394324,0.014919458753959171,0.011010840569839378,0.004509646151830991,0.014754749726257817,0.016237545138967212
san luis potosí,0.022204025530608216,0.01909156999715523,0.013247048084912174,0.021265012009607686,0.015063083213923741,0.02191668135613138,0.023529183558667777,0.018007419676072833,0.004840228788133954,0.01885581601577541,0.021318467139541365
sinaloa,0.013072373279133187,0.012181938869045738,0.008870373187600202,0.028374699759807845,0.02435955684479083,0.021000058757858864,0.03432805628604127,0.012532957705782498,0.0141901037280989,0.019221215003835154,0.02527144624277062
sonora,0.01804640643772954,0.0324493472832443,0.01530665980129428,0.01652522017614091,0.030475657917729704,0.022045948645631353,0.020472689686896424,0.016769087090898773,0.02373333832325992,0.021519236874960466,0.02777664177127948
tabasco,0.009109718739261719,0.02690520592976578,0.00255110996688238,0.01044035228182546,0.019711320029357285,0.02538339502908514,0.016241260727517588,0.010438111749196373,0.009087903794215427,0.014038076416903664,0.01565740093657061
tamaulipas,0.01406912955638253,0.02146853367892025,0.030812259370648194,0.01088871096877502,0.02415685178065914,0.018908278982313884,0.018023060872167616,0.017924864170394565,0.011246047042532887,0.017801993051892184,0.028778331769660364
tlaxcala,0.0028294230755170824,0.0027309795492619403,0.009279955063017098,0.0053162530024019215,0.003592772515989236,0.009354251131088783,0.01258344394534335,0.005990433880779531,0.005139624383276261,0.006379436450360701,0.010484094276595487
veracruz de ignacio de la llave,0.020590693854473582,0.041299743970667255,0.007115022292956362,0.018702962369895916,0.04328801593681194,0.04624243492567131,0.047124872877011455,0.029167892099954077,0.020901554985872272,0.03212563338383413,0.05106177600362939
yucatán,0.012972453945716994,0.009577393558175554,0.012369372637590255,0.011881505204163331,0.021605563904518926,0.028638580410129854,0.0280654305832278,0.018193169563848945,0.02103254055874703,0.0189270534655484,0.021504240457539837
zacatecas,0.005134878914827298,0.006846414008913614,0.007746948615028144,0.0036829463570856686,0.007493097543074826,0.019648628003995534,0.010388753876038806,0.006465128038429588,0.0017651865296931819,0.007366934892041487,0.010751927795590583
