,advertising_marketing,architecture,crafts,design,film_radio_tv,libraries_museums,music_performing_arts,publishing,software,all_creative,all_sectors
guanajuato,0.042746975136285066,0.05485961123110151,0.030380556443875918,0.079491833030853,0.029783393501805054,0.037945698397121363,0.042315857651757764,0.041788093255620315,0.040283759817582976,0.04269707182562262,0.05136731883037804
guerrero,0.015423480920090413,0.008639308855291577,0.17380876239206908,0.007985480943738656,0.02677496991576414,0.02567877003598299,0.019538699579000396,0.02024354704412989,0.005067139599695972,0.028439182387184313,0.03118217430127778
hidalgo,0.018481584895625583,0.01511879049676026,0.01694915254237288,0.014882032667876587,0.015643802647412757,0.03205757278377494,0.019610665323306107,0.022845545378850956,0.009627565239422346,0.019696240206591675,0.02362891546812346
jalisco,0.07492354740061162,0.08120950323974083,0.08490566037735849,0.10127041742286752,0.054452466907340555,0.06264311416421328,0.07085027526897197,0.07108659450457952,0.09222194071446668,0.07401409375410338,0.0726741993823265
michoacán de ocampo,0.02652572796170722,0.03498920086393088,0.056763671250399744,0.037749546279491834,0.04542719614921781,0.035819430814524045,0.03735022129466374,0.03648001665278934,0.013934633899163922,0.035726791263623235,0.04513171094770647
morelos,0.013296104241457253,0.01238300935925126,0.007675087943716022,0.013430127041742287,0.019253910950661854,0.022244030094864246,0.018423230542261883,0.017121149042464614,0.006333924499619965,0.015724165098262355,0.020153049922864652
méxico,0.0677436511102247,0.06925845932325414,0.09385992964502718,0.08203266787658803,0.05475330926594465,0.10369643441282303,0.10366665467237594,0.15299750208159868,0.045604256397263745,0.0999037072701011,0.1217159391068839
nayarit,0.00711341576917963,0.00734341252699784,0.007355292612727854,0.006170598911070781,0.008724428399518652,0.014556754988550866,0.011406570472455111,0.008846794338051623,0.004813782619711173,0.00924629054142776,0.011323292119002074
nuevo león,0.05783805345033905,0.061339092872570194,0.02318516149664215,0.052268602540834846,0.046028880866425995,0.049885508668629376,0.04573423050627901,0.032264779350541214,0.0879148720547251,0.0468442246246772,0.03333310361733778
oaxaca,0.023733546071001196,0.025629949604031678,0.054365206267988485,0.015970961887477313,0.044524669073405534,0.06656853123977756,0.03414774567305962,0.02575978351373855,0.01266784899923993,0.03247691162953561,0.041032264924238025
puebla,0.0498603909054647,0.04478041756659467,0.18676047329708986,0.04900181488203267,0.036702767749699154,0.05446516192345437,0.057320715339498396,0.05183180682764363,0.03673676209779579,0.060762901037335317,0.06007421139319141
querétaro,0.02672516952532908,0.03570914326853852,0.012312120243044452,0.037749546279491834,0.015342960288808664,0.010958456002616945,0.02230938073477025,0.018526228143213988,0.04484418545730935,0.023000831619030944,0.0166679301046422
quintana roo,0.018880468022869298,0.011951043916486681,0.001439078989446754,0.017422867513611617,0.019554753309265944,0.013902518809290153,0.01414126875607211,0.013374271440466278,0.011654421079300734,0.01389679170131746,0.012228044975766603
san luis potosí,0.019345831671320302,0.019438444924406047,0.012472017908538535,0.018511796733212342,0.020156438026474127,0.023388943408570492,0.022129466374005972,0.021700666111573688,0.01241449201925513,0.020199588567426794,0.02099971744932547
sinaloa,0.022403935646855472,0.02087832973362131,0.012791813239526703,0.020689655172413793,0.02707581227436823,0.017500817795224076,0.026267496671584324,0.018682348043297253,0.02533569799847986,0.02193942311900906,0.021980867282896232
sonora,0.026060364313256215,0.03470122390208783,0.019187719859290055,0.019237749546279492,0.034596871239470514,0.026823683349689237,0.024396387319635855,0.02138842631140716,0.02888269571826704,0.025036109773712085,0.021920222260070666
tabasco,0.013229623720249967,0.018574514038876888,0.0015989766549408379,0.010889292196007259,0.015643802647412757,0.019463526333006215,0.012486056637040768,0.015455870108243131,0.009880922219407144,0.013371558629141682,0.014636124940560985
tamaulipas,0.021406727828746176,0.022894168466522678,0.015350175887432043,0.018874773139745917,0.04001203369434416,0.01602878639188747,0.02205750062970026,0.023990424646128227,0.01444134785913352,0.021786230139624458,0.02563020122136713
tlaxcala,0.006781013163143199,0.005759539236861051,0.0118324272465622,0.011252268602540834,0.00421179302045728,0.019136408243375858,0.013565542801626427,0.011396752706078268,0.004813782619711173,0.010865759180636408,0.014400436329125264
