code_en,sector_spanish,code_es,sector_english,creative_nesta_2016,creative_refined,creative_sector,has_creative,code_int
54151,Servicios de diseño de sistemas de cómputo y servicios relacionadosT,54151,Computer systems design and related servicesT ,1.0,1.0,software,1,54151
541510,Servicios de diseño de sistemas de cómputo y servicios relacionados,541510,Computer systems design and related services,1.0,1.0,software,1,541510
5416,"Servicios de consultoría administrativa, científica y técnicaT",5416,"Management, scientific and technical consulting servicesT",1.0,,advertising_marketing,1,5416
54161,Servicios de consultoría en administraciónT,54161,Management consulting servicesT,1.0,,advertising_marketing,1,54161
541610,Servicios de consultoría en administración,541610,Management consulting services,1.0,,advertising_marketing,1,541610
54162,Servicios de consultoría en medio ambienteT,54162,Environmental consulting servicesT,1.0,,advertising_marketing,1,54162
541620,Servicios de consultoría en medio ambiente,541620,Environmental consulting services,1.0,,advertising_marketing,1,541620
54169,Otros servicios de consultoría científica y técnicaT,54169,Other scientific and technical consulting servicesT,1.0,,advertising_marketing,1,54169
541690,Otros servicios de consultoría científica y técnica,541690,Other scientific and technical consulting services,1.0,,advertising_marketing,1,541690
5418,Servicios de publicidad y actividades relacionadasT,5418,Advertising services and related activitiesT,1.0,1.0,advertising_marketing,1,5418
54181,Agencias de publicidadT,54181,Advertising agenciesT,1.0,1.0,advertising_marketing,1,54181
541810,Agencias de publicidad,541810,Advertising agencies,1.0,1.0,advertising_marketing,1,541810
54182,Agencias de relaciones públicasT,54182,Public relations agenciesT,1.0,1.0,advertising_marketing,1,54182
541820,Agencias de relaciones públicas,541820,Public relations agencies,1.0,1.0,advertising_marketing,1,541820
54183,Agencias de compra de medios a petición del clienteT,54183,Media buying agencies on behalf of the customerT,1.0,1.0,advertising_marketing,1,54183
541830,Agencias de compra de medios a petición del cliente,541830,Media buying agencies on behalf of the customer,1.0,1.0,advertising_marketing,1,541830
54184,Agencias de representación de mediosT,54184,Media representation agenciesT,1.0,1.0,advertising_marketing,1,54184
541840,Agencias de representación de medios,541840,Media representation agencies,1.0,1.0,advertising_marketing,1,541840
54185,Agencias de anuncios publicitariosT,54185,Display advertising agenciesT,1.0,1.0,advertising_marketing,1,54185
541850,Agencias de anuncios publicitarios,541850,Display advertising agencies,1.0,1.0,advertising_marketing,1,541850
54186,Agencias de correo directoT,54186,Direct mail agenciesT,1.0,1.0,advertising_marketing,1,54186
541860,Agencias de correo directo,541860,Direct mail agencies,1.0,1.0,advertising_marketing,1,541860
54187,Distribución de material publicitarioT,54187,Advertising material distributionT,1.0,1.0,advertising_marketing,1,54187
541870,Distribución de material publicitario,541870,Advertising material distribution,1.0,1.0,advertising_marketing,1,541870
54189,Servicios de rotulación y otros servicios de publicidadT,54189,Lettering services and other advertising servicesT,1.0,1.0,advertising_marketing,1,54189
541890,Servicios de rotulación y otros servicios de publicidad,541890,Lettering services and other advertising services,1.0,1.0,advertising_marketing,1,541890
5419,"Otros servicios profesionales, científicos y técnicosT",5419,"Other professional, scientific and technical servicesT",1.0,1.0,publishing,1,5419
54191,Servicios de investigación de mercados y encuestas de opinión públicaT,54191,Marketing research and public opinion polling servicesT,1.0,1.0,publishing,1,54191
541910,Servicios de investigación de mercados y encuestas de opinión pública,541910,Marketing research and public opinion polling services,1.0,1.0,publishing,1,541910
54192,Servicios de fotografía y videograbaciónT,54192,Photographic and video taping servicesT,1.0,1.0,publishing,1,54192
541920,Servicios de fotografía y videograbación,541920,Photographic and video taping services,1.0,1.0,publishing,1,541920
54193,Servicios de traducción e interpretaciónT,54193,Translation and interpretation servicesT,1.0,1.0,publishing,1,54193
541930,Servicios de traducción e interpretación,541930,Translation and interpretation services,1.0,1.0,publishing,1,541930
54199,"Otros servicios profesionales, científicos y técnicosT",54199,"Other professional, scientific and technical servicesT",1.0,1.0,publishing,1,54199
541990,"Otros servicios profesionales, científicos y técnicos",541990,"Other professional, scientific and technical services",1.0,1.0,publishing,1,541990
61161,Escuelas de arteT,61161,Fine arts schoolsT ,1.0,1.0,music_performing_arts,1,61161
611611,Escuelas de arte del sector privado,611611,"Fine arts schools, private sector ",1.0,1.0,music_performing_arts,1,611611
611612,Escuelas de arte del sector público,611612,"Fine arts schools, public sector ",1.0,1.0,music_performing_arts,1,611612
61162,Escuelas de deporteT,61162,Sports schoolsT,1.0,,music_performing_arts,1,61162
611621,Escuelas de deporte del sector privado,611621,"Sports schools, private sector",1.0,,music_performing_arts,1,611621
611622,Escuelas de deporte del sector público,611622,"Sports schools, public sector",1.0,,music_performing_arts,1,611622
61163,Escuelas de idiomasT,61163,Language schoolsT,1.0,,music_performing_arts,1,61163
611631,Escuelas de idiomas del sector privado,611631,"Language schools, private sector",1.0,,music_performing_arts,1,611631
