,Unnamed: 0,code_en,sector_spanish,code_es,sector_english,creative_nesta_2016,creative_refined,creative_sector,has_creative,code_int
99,99,54149,Diseño de modas y otros diseños especializadosT,54149,Fashion design and other specialized designsT,1.0,1.0,design,1,54149
100,100,541490,Diseño de modas y otros diseños especializados,541490,Fashion design and other specialized designs,1.0,1.0,design,1,541490
101,101,5415,Servicios de diseño de sistemas de cómputo y servicios relacionadosT,5415,Computer systems design and related servicesT ,1.0,1.0,software,1,5415
102,102,54151,Servicios de diseño de sistemas de cómputo y servicios relacionadosT,54151,Computer systems design and related servicesT ,1.0,1.0,software,1,54151
103,103,541510,Servicios de diseño de sistemas de cómputo y servicios relacionados,541510,Computer systems design and related services,1.0,1.0,software,1,541510
104,104,5416,"Servicios de consultoría administrativa, científica y técnicaT",5416,"Management, scientific and technical consulting servicesT",1.0,,advertising_marketing,1,5416
105,105,54161,Servicios de consultoría en administraciónT,54161,Management consulting servicesT,1.0,,advertising_marketing,1,54161
106,106,541610,Servicios de consultoría en administración,541610,Management consulting services,1.0,,advertising_marketing,1,541610
107,107,54162,Servicios de consultoría en medio ambienteT,54162,Environmental consulting servicesT,1.0,,advertising_marketing,1,54162
108,108,541620,Servicios de consultoría en medio ambiente,541620,Environmental consulting services,1.0,,advertising_marketing,1,541620
109,109,54169,Otros servicios de consultoría científica y técnicaT,54169,Other scientific and technical consulting servicesT,1.0,,advertising_marketing,1,54169
110,110,541690,Otros servicios de consultoría científica y técnica,541690,Other scientific and technical consulting services,1.0,,advertising_marketing,1,541690
111,111,5418,Servicios de publicidad y actividades relacionadasT,5418,Advertising services and related activitiesT,1.0,1.0,advertising_marketing,1,5418
112,112,54181,Agencias de publicidadT,54181,Advertising agenciesT,1.0,1.0,advertising_marketing,1,54181
113,113,541810,Agencias de publicidad,541810,Advertising agencies,1.0,1.0,advertising_marketing,1,541810
114,114,54182,Agencias de relaciones públicasT,54182,Public relations agenciesT,1.0,1.0,advertising_marketing,1,54182
115,115,541820,Agencias de relaciones públicas,541820,Public relations agencies,1.0,1.0,advertising_marketing,1,541820
116,116,54183,Agencias de compra de medios a petición del clienteT,54183,Media buying agencies on behalf of the customerT,1.0,1.0,advertising_marketing,1,54183
117,117,541830,Agencias de compra de medios a petición del cliente,541830,Media buying agencies on behalf of the customer,1.0,1.0,advertising_marketing,1,541830
118,118,54184,Agencias de representación de mediosT,54184,Media representation agenciesT,1.0,1.0,advertising_marketing,1,54184
119,119,541840,Agencias de representación de medios,541840,Media representation agencies,1.0,1.0,advertising_marketing,1,541840
120,120,54185,Agencias de anuncios publicitariosT,54185,Display advertising agenciesT,1.0,1.0,advertising_marketing,1,54185
121,121,541850,Agencias de anuncios publicitarios,541850,Display advertising agencies,1.0,1.0,advertising_marketing,1,541850
122,122,54186,Agencias de correo directoT,54186,Direct mail agenciesT,1.0,1.0,advertising_marketing,1,54186
123,123,541860,Agencias de correo directo,541860,Direct mail agencies,1.0,1.0,advertising_marketing,1,541860
124,124,54187,Distribución de material publicitarioT,54187,Advertising material distributionT,1.0,1.0,advertising_marketing,1,54187
125,125,541870,Distribución de material publicitario,541870,Advertising material distribution,1.0,1.0,advertising_marketing,1,541870
126,126,54189,Servicios de rotulación y otros servicios de publicidadT,54189,Lettering services and other advertising servicesT,1.0,1.0,advertising_marketing,1,54189
127,127,541890,Servicios de rotulación y otros servicios de publicidad,541890,Lettering services and other advertising services,1.0,1.0,advertising_marketing,1,541890
128,128,5419,"Otros servicios profesionales, científicos y técnicosT",5419,"Other professional, scientific and technical servicesT",1.0,1.0,publishing,1,5419
129,129,54191,Servicios de investigación de mercados y encuestas de opinión públicaT,54191,Marketing research and public opinion polling servicesT,1.0,1.0,publishing,1,54191
130,130,541910,Servicios de investigación de mercados y encuestas de opinión pública,541910,Marketing research and public opinion polling services,1.0,1.0,publishing,1,541910
131,131,54192,Servicios de fotografía y videograbaciónT,54192,Photographic and video taping servicesT,1.0,1.0,publishing,1,54192
132,132,541920,Servicios de fotografía y videograbación,541920,Photographic and video taping services,1.0,1.0,publishing,1,541920
133,133,54193,Servicios de traducción e interpretaciónT,54193,Translation and interpretation servicesT,1.0,1.0,publishing,1,54193
